targetAnim,audioPos,distPos,visualL,expLab,picR,picL,condLabel,corrAns,targetPos,visualR,pracTrials1a.thisRepN,pracTrials1a.thisTrialN,pracTrials1a.thisN,pracTrials1a.thisIndex,exp1a.thisRepN,exp1a.thisTrialN,exp1a.thisN,exp1a.thisIndex,pressToCont.keys,pressToCont.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,spaceToBegin.keys,spaceToBegin.rt,date,frameRate,expName,session,participant,
frog,wnR.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,LinCongWN,h,-20,landoltCL.png,,,,,0,19,19,27,,,h,0,2.05175698918,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,quackR.wav,20,landoltCBottom.png,V1,duckFront.png,frogFront.png,LinCong,b,-20,landoltCL.png,,,,,0,20,20,18,,,b,0,1.43464661541,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,wnR.wav,20,landoltCBottom.png,V1,duckFront.png,frogFront.png,LinCongWN,b,-20,landoltCR.png,,,,,0,21,21,19,,,b,0,1.41800228439,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-20,landoltCR.png,,,,,0,22,22,1,,,h,0,1.13443577086,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,h,20,landoltCTop.png,,,,,0,23,23,39,,,h,0,1.4178300018,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,quackR.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,LinCong,h,-20,landoltCR.png,,,,,0,24,24,26,,,h,0,1.73467784622,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCongWN,b,-20,landoltCL.png,,,,,0,25,25,75,,,b,0,1.41798982139,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,26,26,5,,,h,0,1.43443767696,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,,,,,0,27,27,73,,,b,0,1.76793058551,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,28,28,37,,,h,0,1.60121382249,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
frog,ribbitR.wav,-20,landoltCL.png,V1,frogFront.png,duckFront.png,Lcong,h,20,landoltCTop.png,,,,,0,29,29,28,,,h,0,1.25119241545,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,b,20,landoltCBottom.png,,,,,0,30,30,15,,,b,0,0.984505197062,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,31,31,46,,,b,0,0.917798844312,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCongWN,b,-20,landoltCL.png,,,,,0,32,32,43,,,b,0,1.1341619515,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,0,33,33,40,,,b,0,1.03436011313,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,0,34,34,72,,,b,0,1.28452213209,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,0,35,35,0,,,h,0,1.51804055311,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-20,landoltCR.png,,,,,0,36,36,33,,,h,0,1.65170581758,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,37,37,76,,,b,0,2.10160420751,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,0,38,38,51,,,h,0,1.65148624891,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,,,,,0,39,39,41,,,b,0,1.58479602475,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,0,40,40,35,,,h,0,1.45135179519,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
duck,ribbitR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCong,h,-20,landoltCL.png,,,,,0,41,41,34,,,h,0,2.13524623214,,,2020_Feb_26_1714,59.9631175573,duckFrog,001,7,
